indx,Year,Month,t,tc,p,tn,pn,td,pd
178,1990,12,182.88223350253799,177.11776649746201,171.198477157361,46.7286082791325,44.43543364123121,100.48314222504999,
179,1991,1,181.27036011080298,178.72963988919702,197.48670360110802,43.1789130693131,-106.033320850431,124.769043186593,-23.70223384336782
180,1991,2,184.245124716553,175.754875283447,191.113378684807,65.694561016764,-73.0846320446657,172.906041992629,26.081301979989295
181,1991,3,178.864525139665,178.864525139665,178.76703910614498,63.571242684590594,-63.67250716258489,147.330805923831,-19.207041993084587
182,1991,4,175.055635491607,175.055635491607,199.30791366906502,56.3500654034,-53.241429010653896,47.0634459113442,
183,1991,5,190.493841642229,169.506158357771,163.602346041056,48.6237346141469,-61.668614015804394,89.219519724582,6.718971840052658
184,1991,6,171.812300683371,171.812300683371,200.559225512529,47.3395261901159,-69.8647897659353,67.9031745272038,-12.487574022545111
185,1991,7,180.040256959315,179.959743040685,217.828907922913,55.5955139711245,-68.0272555568333,176.09513131290902,-7.770282092340901
186,1991,8,174.164271047228,174.164271047228,193.79733059548198,45.4073743472569,-79.1601175475637,28.3341960048661,
187,1991,9,183.40523415978,176.59476584022,192.67493112947702,38.176548868614205,-93.85331586825751,61.8636027292501,26.717471591410202
188,1991,10,180.247107438017,179.752892561983,162.17024793388399,39.786161780069705,-87.09758415799891,50.1622364774057,
189,1991,11,182.080615384615,177.919384615385,150.82830769230802,38.676971088124496,-88.16044657827891,59.3143463310685,34.16814111675211
190,1991,12,181.589850746269,178.410149253731,193.097014925373,31.400434097633198,-86.75273912443241,141.287561314771,
191,1992,1,172.769249394673,172.769249394673,178.189588377725,27.418094116690803,-95.89498855395529,49.8204421389661,1.6929757208740988
192,1992,2,182.034259259259,177.965740740741,188.591898148149,17.4802742944618,-68.8373124299032,161.97646579455602,9.436818255509587
193,1992,3,194.60847457627102,165.391525423729,176.036723163842,16.1431702204414,-76.07966029561629,82.27485610127509,
194,1992,4,175.19243027888402,175.19243027888402,197.417928286853,17.8472824004497,-95.8355693609169,82.2655600646372,
195,1992,5,176.97799999999998,176.97799999999998,175.144,9.671379232147881,-107.282294879303,133.202080401024,-16.516051193274784
196,1992,6,183.3,176.7,173.82692307692298,6.09970807250875,10.1021767082323,54.09631815075829,-22.824514026358763
197,1992,7,191.94502617801004,168.05497382199,167.62303664921498,8.19972646999665,74.29452373521791,124.301327178784,-54.34867030976965
198,1992,8,200.04285714285703,159.957142857143,148.16770186335398,7.55052468572216,69.7292687551062,122.430744062099,16.830288190689135
199,1992,9,179.727058823529,179.727058823529,151.088235294118,10.1194981617604,61.4795815093052,54.545583540420104,42.08140283173696
200,1992,10,184.501754385965,175.498245614035,190.684210526316,12.9198464404394,38.521433722901605,34.6097830886531,
201,1992,11,185.70728155339802,174.29271844660198,207.25728155339803,11.7968815920463,64.36653358264749,94.762602356028,
202,1992,12,196.978723404255,163.02127659574498,191.157446808511,16.0392830525018,9.213153318593688,141.80708789770298,-12.142262433620482
203,1993,1,192.40372340425498,167.596276595745,182.23936170212798,10.838012934925098,9.02592780366925,136.544496255842,-21.656158955850263
204,1993,2,185.88225806451598,174.11774193548402,205.56451612903197,13.2657052967926,-35.3706793373272,80.0765962541101,53.146273894457515
